image_id,zone_local_name
IMG_101,ExcavationBoundary_North
IMG_102,ExcavationBoundary_North
IMG_103,ExcavationBoundary_North
IMG_104,ExcavationBoundary_North
IMG_105,ExcavationBoundary_North
IMG_106,ExcavationBoundary_North
IMG_110,ExcavationBoundary_South
IMG_120,RoadRestraint_Deck
IMG_121,RoadRestraint_Deck
IMG_122,RoadRestraint_Deck
IMG_130,BoltedConnection_B12
IMG_131,BoltedConnection_B12
IMG_132,BoltedConnection_B12
IMG_140,SiteArea_Whole
IMG_141,SiteArea_Whole
IMG_142,SiteArea_Whole
IMG_143,SiteArea_Whole
IMG_144,SiteArea_Whole
IMG_145,SiteArea_Whole
IMG_146,SiteArea_Whole
IMG_147,SiteArea_Whole
IMG_150,Worker_04
IMG_151,Worker_04
